customer_id,month,category,payment_type,spend
CUST092,July,Apparel,Debit Card,2400.36
CUST083,October,Entertainment,Net Banking,19185.78
CUST181,October,Travel,Debit Card,10108.11
CUST172,May,Groceries,UPI,9992.65
CUST011,July,Apparel,Credit Card,13011.27
CUST052,July,Groceries,UPI,4613.15
CUST100,June,Electronics,Credit Card,13985.1
CUST059,October,Apparel,UPI,13225.53
CUST165,September,Entertainment,Credit Card,5300.01
CUST048,October,Entertainment,UPI,14079.71
CUST141,June,Entertainment,Credit Card,8008.06
CUST109,August,Groceries,Debit Card,16801.42
CUST008,May,Groceries,Debit Card,6524.85
CUST126,September,Apparel,Net Banking,17404.32
CUST177,October,Apparel,Net Banking,17567.63
CUST011,August,Entertainment,Debit Card,15355.52
CUST143,October,Apparel,UPI,7274.65
CUST029,September,Entertainment,Debit Card,7956.77
CUST067,June,Apparel,Debit Card,10524.25
CUST069,June,Groceries,Net Banking,1090.36
CUST010,May,Apparel,Credit Card,14487.72
CUST158,August,Apparel,Debit Card,11693.43
CUST018,August,Groceries,Net Banking,6718.83
CUST063,October,Groceries,Net Banking,11375.86
CUST049,October,Travel,Net Banking,13627.16
CUST014,October,Electronics,Credit Card,8071.04
CUST059,October,Entertainment,Credit Card,8856.87
CUST175,June,Electronics,Credit Card,5913.76
CUST078,July,Entertainment,Net Banking,4932.8
CUST132,October,Entertainment,Net Banking,1745.21
CUST070,June,Groceries,Net Banking,10336.96
CUST145,May,Groceries,Credit Card,6694.31
CUST176,May,Travel,Credit Card,10854.79
CUST068,May,Groceries,UPI,2437.55
CUST017,July,Electronics,Debit Card,5640.61
CUST047,July,Electronics,Credit Card,15598.2
CUST017,May,Groceries,Debit Card,4369.32
CUST181,August,Entertainment,Net Banking,10090.56
CUST189,October,Travel,Credit Card,18781.48
CUST016,September,Groceries,UPI,8514.91
CUST099,September,Electronics,Net Banking,3967.65
CUST174,May,Apparel,UPI,9549.57
CUST088,August,Entertainment,UPI,16138.78
CUST188,June,Travel,Net Banking,18433.08
CUST019,May,Groceries,Debit Card,8789.37
CUST053,May,Electronics,Debit Card,18716.85
CUST164,August,Travel,UPI,1934.65
CUST072,July,Entertainment,Net Banking,13108.03
CUST104,September,Groceries,Net Banking,7213.51
CUST135,June,Electronics,Credit Card,11215.34
CUST061,June,Groceries,Credit Card,4141.36
CUST119,July,Electronics,Net Banking,17268.84
CUST064,September,Apparel,Credit Card,14181.14
CUST188,July,Electronics,Net Banking,659.68
CUST022,June,Entertainment,UPI,5856.81
CUST197,May,Groceries,UPI,2929.65
CUST054,May,Apparel,Credit Card,16376.55
CUST043,August,Travel,Credit Card,12157.44
CUST140,August,Travel,Net Banking,559.58
CUST130,July,Entertainment,Credit Card,15532.12
CUST161,July,Entertainment,Net Banking,1137.94
CUST058,July,Electronics,Credit Card,5140.77
CUST195,September,Travel,UPI,16460.65
CUST023,August,Apparel,Net Banking,1760.25
CUST003,May,Electronics,Debit Card,13010.69
CUST117,August,Electronics,UPI,7211.88
CUST063,August,Travel,Debit Card,17840.4
CUST129,May,Electronics,Debit Card,4853.03
CUST059,August,Groceries,Credit Card,18481.76
CUST189,September,Electronics,Net Banking,15691.59
CUST014,August,Entertainment,UPI,6780.82
CUST074,October,Groceries,Net Banking,19544.42
CUST069,July,Entertainment,Net Banking,5781.9
CUST095,May,Electronics,UPI,835.57
CUST059,October,Entertainment,Net Banking,11594.12
CUST173,July,Electronics,Net Banking,10178.12
CUST116,August,Travel,UPI,9815.8
CUST199,September,Entertainment,Net Banking,6618.0
CUST112,July,Apparel,Debit Card,7905.26
CUST045,August,Apparel,Credit Card,13897.79
CUST137,June,Travel,Debit Card,4750.84
CUST030,September,Entertainment,Credit Card,975.74
CUST162,October,Groceries,UPI,8611.0
CUST157,September,Entertainment,Net Banking,13400.88
CUST178,May,Apparel,Debit Card,3818.87
CUST123,June,Groceries,UPI,12161.1
CUST188,October,Apparel,UPI,1501.03
CUST063,August,Groceries,Debit Card,9950.45
CUST084,September,Groceries,Credit Card,7732.08
CUST124,August,Groceries,Credit Card,7796.64
CUST195,May,Travel,Credit Card,18311.4
CUST021,August,Apparel,Net Banking,8862.55
CUST012,June,Entertainment,Credit Card,7309.47
CUST111,June,Groceries,Net Banking,3445.08
CUST171,August,Entertainment,Credit Card,5555.57
CUST059,June,Apparel,UPI,7161.15
CUST130,October,Apparel,Net Banking,17300.0
CUST051,September,Travel,Credit Card,2283.43
CUST126,September,Apparel,Debit Card,7445.9
CUST131,June,Travel,Credit Card,13046.77
CUST118,September,Electronics,Net Banking,2540.15
CUST158,August,Apparel,Debit Card,19007.75
CUST141,October,Travel,Credit Card,13094.96
CUST123,October,Apparel,Debit Card,8577.99
CUST072,September,Groceries,UPI,7825.77
CUST084,June,Entertainment,UPI,10831.12
CUST050,May,Travel,Debit Card,17742.12
CUST064,September,Entertainment,Credit Card,14331.02
CUST082,July,Entertainment,Net Banking,11516.91
CUST169,July,Entertainment,UPI,17824.67
CUST173,September,Electronics,Credit Card,9419.67
CUST075,May,Electronics,UPI,19566.24
CUST009,June,Entertainment,UPI,12576.95
CUST003,July,Groceries,Net Banking,10951.22
CUST179,July,Entertainment,Credit Card,10655.97
CUST095,July,Groceries,UPI,8916.31
CUST019,October,Apparel,Debit Card,15693.14
CUST121,June,Travel,Debit Card,7499.27
CUST165,May,Travel,UPI,13769.24
CUST016,August,Electronics,Net Banking,8817.62
CUST028,August,Electronics,UPI,5833.98
CUST149,June,Entertainment,Credit Card,6463.14
CUST059,October,Entertainment,UPI,14710.18
CUST052,May,Travel,Net Banking,17014.05
CUST147,September,Electronics,Net Banking,3110.87
CUST102,May,Groceries,UPI,19370.83
CUST094,September,Apparel,Net Banking,2012.49
CUST147,October,Entertainment,Net Banking,12508.66
CUST053,May,Travel,Debit Card,16985.11
CUST172,May,Electronics,Debit Card,19686.32
CUST175,October,Travel,Debit Card,14998.6
CUST179,August,Electronics,Debit Card,14366.57
CUST143,August,Entertainment,Credit Card,3223.87
CUST023,May,Groceries,Credit Card,11956.5
CUST191,June,Travel,UPI,549.31
CUST109,August,Groceries,Net Banking,6712.71
CUST080,September,Travel,Debit Card,16739.01
CUST098,July,Groceries,Debit Card,14691.1
CUST005,September,Electronics,UPI,9205.31
CUST189,May,Travel,Debit Card,10250.86
CUST178,October,Electronics,Net Banking,2417.77
CUST184,August,Electronics,UPI,8597.04
CUST058,June,Entertainment,UPI,7864.32
CUST098,August,Travel,UPI,8067.68
CUST132,September,Electronics,Credit Card,11402.44
CUST053,June,Apparel,Credit Card,13882.81
CUST078,October,Electronics,Credit Card,4162.72
CUST160,September,Entertainment,UPI,895.62
CUST068,October,Apparel,UPI,1053.33
CUST173,September,Apparel,Debit Card,13692.71
CUST105,October,Apparel,Credit Card,16360.85
CUST103,May,Groceries,Credit Card,13059.79
CUST069,May,Electronics,UPI,13980.65
CUST127,August,Apparel,Credit Card,19442.61
CUST123,May,Travel,UPI,3434.84
CUST101,August,Apparel,Credit Card,13965.13
CUST107,September,Groceries,Debit Card,11210.06
CUST060,July,Groceries,Credit Card,16424.01
CUST047,July,Groceries,Net Banking,2560.15
CUST196,September,Travel,Credit Card,4850.08
CUST056,May,Travel,Net Banking,2286.74
CUST043,August,Travel,Net Banking,18732.59
CUST122,August,Groceries,Net Banking,699.66
CUST193,June,Groceries,Net Banking,4506.34
CUST045,May,Entertainment,Debit Card,15488.54
CUST027,August,Apparel,UPI,10388.93
CUST171,July,Entertainment,UPI,12469.04
CUST074,September,Travel,Debit Card,4189.47
CUST149,July,Entertainment,Net Banking,10304.27
CUST098,June,Groceries,UPI,11897.23
CUST131,August,Groceries,Credit Card,4686.21
CUST196,July,Apparel,Debit Card,1494.38
CUST140,August,Apparel,Net Banking,18091.68
CUST088,July,Entertainment,Debit Card,5421.36
CUST008,June,Travel,UPI,13900.61
CUST170,July,Apparel,UPI,11978.82
CUST107,May,Travel,Debit Card,19998.0
CUST140,September,Electronics,Debit Card,10852.98
CUST005,June,Entertainment,Net Banking,5600.13
CUST141,May,Apparel,UPI,12671.8
CUST134,August,Electronics,Debit Card,8035.07
CUST073,July,Groceries,UPI,10164.56
CUST135,September,Travel,Net Banking,17039.81
CUST027,October,Apparel,Net Banking,16033.06
CUST123,July,Apparel,Net Banking,15174.29
CUST112,September,Travel,Net Banking,11702.41
CUST013,July,Groceries,Debit Card,2299.35
CUST189,October,Groceries,UPI,4189.66
CUST172,August,Travel,Debit Card,19674.1
CUST019,October,Groceries,Credit Card,11415.12
CUST022,September,Electronics,Net Banking,2836.52
CUST003,October,Groceries,Debit Card,10674.73
CUST151,September,Travel,UPI,922.17
CUST093,May,Entertainment,Credit Card,12406.49
CUST088,June,Entertainment,Credit Card,14902.75
CUST127,October,Apparel,Debit Card,539.26
CUST140,May,Apparel,UPI,6945.02
CUST010,June,Entertainment,Credit Card,4535.68
CUST134,September,Apparel,UPI,10030.98
CUST042,September,Electronics,Net Banking,14266.13
CUST081,September,Groceries,Net Banking,924.75
CUST133,May,Electronics,Debit Card,15001.35
CUST186,July,Electronics,UPI,1239.17
CUST178,June,Travel,UPI,11517.87
CUST055,September,Entertainment,Debit Card,17271.97
CUST053,August,Groceries,UPI,7056.62
CUST038,May,Electronics,Debit Card,13584.17
CUST126,July,Travel,UPI,8716.23
CUST045,September,Entertainment,UPI,14219.17
CUST064,June,Electronics,Credit Card,10684.07
CUST109,May,Travel,UPI,9174.54
CUST177,October,Groceries,Net Banking,6486.27
CUST041,May,Entertainment,Credit Card,14968.51
CUST107,May,Groceries,Net Banking,19671.0
CUST148,October,Travel,Net Banking,8422.02
CUST194,August,Entertainment,Debit Card,9968.97
CUST067,August,Entertainment,Credit Card,16223.97
CUST152,August,Apparel,Credit Card,19929.64
CUST054,August,Apparel,Net Banking,10368.6
CUST056,June,Entertainment,UPI,12532.49
CUST181,October,Electronics,Net Banking,10451.96
CUST112,June,Groceries,Credit Card,12221.55
CUST091,June,Apparel,UPI,9601.92
CUST153,May,Entertainment,Debit Card,989.72
CUST192,June,Apparel,UPI,4562.77
CUST124,August,Groceries,Credit Card,9072.34
CUST122,August,Travel,Debit Card,8469.47
CUST061,July,Groceries,Net Banking,10416.5
CUST150,September,Groceries,Credit Card,3099.34
CUST008,July,Entertainment,Credit Card,17399.18
CUST161,October,Entertainment,Credit Card,11368.92
CUST089,October,Apparel,Credit Card,13785.35
CUST144,June,Groceries,Net Banking,19520.2
CUST046,August,Entertainment,Net Banking,3798.43
CUST096,July,Apparel,UPI,11270.0
CUST135,June,Electronics,Credit Card,6254.33
CUST031,October,Electronics,Net Banking,4802.56
CUST034,July,Groceries,Debit Card,1803.49
CUST032,October,Travel,Net Banking,14701.43
CUST150,September,Entertainment,Debit Card,4168.04
CUST146,June,Groceries,UPI,12812.06
CUST095,October,Groceries,Debit Card,8997.5
CUST131,June,Travel,Credit Card,12674.1
CUST087,October,Apparel,Credit Card,4945.48
CUST116,October,Groceries,Debit Card,14077.81
CUST152,May,Groceries,Net Banking,3565.81
CUST027,October,Travel,Debit Card,16184.45
CUST063,September,Apparel,UPI,9457.73
CUST003,June,Groceries,Credit Card,3484.75
CUST052,September,Travel,Debit Card,19956.65
CUST099,October,Entertainment,Net Banking,12105.67
CUST181,July,Groceries,Credit Card,891.14
CUST106,September,Travel,UPI,18873.39
CUST179,June,Apparel,UPI,10524.8
CUST154,September,Apparel,Net Banking,5993.48
CUST059,May,Electronics,Credit Card,13268.79
CUST079,May,Groceries,Net Banking,1954.94
CUST031,June,Entertainment,Debit Card,1199.3
CUST194,October,Electronics,UPI,7792.42
CUST136,October,Travel,Credit Card,4646.5
CUST181,May,Entertainment,UPI,6069.44
CUST114,June,Apparel,Net Banking,12333.83
CUST073,June,Travel,UPI,16522.51
CUST185,October,Entertainment,Credit Card,11534.01
CUST143,June,Travel,Net Banking,10332.83
CUST172,October,Entertainment,Credit Card,3103.45
CUST027,June,Travel,Credit Card,6786.94
CUST076,October,Travel,Net Banking,4958.18
CUST118,June,Electronics,UPI,1626.27
CUST198,May,Apparel,Net Banking,14851.31
CUST046,July,Entertainment,Debit Card,6852.88
CUST169,June,Groceries,Credit Card,10223.58
CUST072,May,Entertainment,Debit Card,5192.15
CUST129,July,Entertainment,UPI,15226.54
CUST015,May,Entertainment,Debit Card,3028.58
CUST017,July,Electronics,Net Banking,6528.16
CUST135,June,Entertainment,Net Banking,15674.69
CUST185,October,Electronics,Net Banking,8296.78
CUST074,October,Entertainment,UPI,1533.62
CUST024,June,Entertainment,UPI,17311.61
CUST152,May,Entertainment,Net Banking,3117.74
CUST064,August,Travel,Credit Card,7556.56
CUST024,September,Apparel,UPI,18791.26
CUST179,August,Travel,UPI,1944.33
CUST113,July,Travel,Credit Card,4766.76
CUST111,August,Apparel,UPI,3033.25
CUST053,July,Apparel,Debit Card,1449.51
CUST014,June,Electronics,Debit Card,4962.35
CUST157,September,Apparel,Credit Card,15917.78
CUST107,July,Apparel,Credit Card,17846.69
CUST137,July,Groceries,Net Banking,4107.13
CUST008,May,Electronics,Credit Card,16215.0
CUST039,May,Entertainment,UPI,8332.05
CUST075,July,Electronics,Credit Card,8836.18
CUST120,September,Entertainment,Net Banking,4472.29
CUST167,October,Electronics,Debit Card,8695.51
CUST177,August,Electronics,Debit Card,1351.23
CUST183,July,Groceries,Debit Card,18536.45
CUST170,September,Electronics,UPI,8224.26
CUST162,May,Apparel,UPI,1951.03
CUST191,October,Travel,UPI,16463.75
CUST132,September,Entertainment,UPI,8609.07
CUST122,June,Groceries,Net Banking,1506.58
CUST051,October,Apparel,Debit Card,18053.43
CUST045,June,Travel,Net Banking,2219.64
CUST123,August,Electronics,Net Banking,15047.77
CUST150,May,Apparel,Net Banking,2885.21
CUST085,May,Apparel,UPI,13281.65
CUST168,May,Apparel,Debit Card,19537.29
CUST070,October,Travel,Debit Card,11788.6
CUST115,May,Apparel,Net Banking,2486.52
CUST053,August,Entertainment,Credit Card,10717.19
CUST115,October,Electronics,Credit Card,6992.78
CUST102,October,Travel,Net Banking,14465.46
CUST088,August,Entertainment,Debit Card,12513.76
CUST180,October,Apparel,UPI,12312.1
CUST124,May,Apparel,Credit Card,5381.68
CUST156,October,Entertainment,Credit Card,18878.19
CUST049,July,Travel,Net Banking,13797.4
CUST014,August,Travel,Net Banking,18346.3
CUST179,July,Apparel,Debit Card,10754.71
CUST032,May,Entertainment,UPI,16889.89
CUST172,September,Entertainment,Net Banking,11018.86
CUST192,June,Apparel,Net Banking,1729.63
CUST042,August,Apparel,UPI,14224.47
CUST086,June,Apparel,Net Banking,2977.46
CUST059,June,Travel,Net Banking,2603.55
CUST125,June,Electronics,Debit Card,15524.68
CUST048,July,Electronics,UPI,664.3
CUST042,August,Entertainment,Credit Card,11094.29
CUST101,July,Groceries,UPI,17585.43
CUST163,May,Travel,Credit Card,1011.27
CUST134,August,Electronics,Net Banking,17432.16
CUST016,July,Entertainment,Credit Card,16712.05
CUST152,June,Electronics,Debit Card,6357.7
CUST162,August,Entertainment,Net Banking,898.77
CUST161,September,Apparel,Net Banking,3830.84
CUST067,May,Travel,UPI,11924.58
CUST041,July,Travel,UPI,16385.77
CUST017,May,Apparel,Net Banking,9488.58
CUST095,October,Apparel,Credit Card,1000.61
CUST085,July,Travel,Debit Card,2392.36
CUST190,August,Electronics,UPI,1323.96
CUST089,July,Apparel,Debit Card,19625.45
CUST010,June,Electronics,Net Banking,12153.2
CUST078,June,Electronics,Debit Card,560.94
CUST100,August,Groceries,Net Banking,10348.37
CUST180,September,Groceries,Debit Card,8391.89
CUST019,June,Travel,Debit Card,11614.47
CUST180,October,Travel,Debit Card,13535.15
CUST098,August,Travel,Debit Card,9543.05
CUST150,May,Entertainment,UPI,13399.34
CUST073,August,Travel,UPI,12796.48
CUST094,September,Entertainment,Credit Card,15578.48
CUST118,July,Entertainment,Credit Card,19608.16
CUST024,June,Apparel,Debit Card,7444.28
CUST047,May,Electronics,UPI,1439.18
CUST150,June,Entertainment,Net Banking,11373.3
CUST144,August,Groceries,UPI,16777.1
CUST100,September,Entertainment,Credit Card,10108.26
CUST127,October,Travel,Debit Card,6098.83
CUST188,September,Groceries,Net Banking,14126.22
CUST103,May,Entertainment,Net Banking,3049.13
CUST163,August,Electronics,Credit Card,6231.18
CUST171,August,Apparel,Net Banking,18109.88
CUST125,June,Entertainment,Credit Card,8235.3
CUST020,August,Travel,Debit Card,19178.17
CUST071,July,Entertainment,Net Banking,5377.66
CUST101,August,Apparel,Net Banking,16189.8
CUST171,July,Electronics,Net Banking,927.89
CUST111,August,Apparel,UPI,9078.47
CUST051,May,Electronics,Net Banking,10897.15
CUST004,September,Travel,Debit Card,12747.17
CUST082,September,Travel,Credit Card,8998.97
CUST028,August,Travel,Debit Card,9260.49
CUST150,June,Apparel,UPI,2198.28
CUST065,July,Electronics,Debit Card,8243.5
CUST047,July,Entertainment,Debit Card,2862.79
CUST010,September,Electronics,UPI,19679.23
CUST032,September,Entertainment,UPI,14835.78
CUST133,October,Travel,Credit Card,13106.76
CUST068,May,Groceries,Credit Card,17551.36
CUST060,September,Travel,Credit Card,13079.17
CUST010,September,Groceries,Credit Card,17179.35
CUST091,September,Groceries,Credit Card,1463.69
CUST124,September,Entertainment,Credit Card,4703.08
CUST074,June,Entertainment,UPI,5108.61
CUST107,October,Travel,Credit Card,12560.2
CUST134,May,Apparel,Net Banking,12488.54
CUST200,June,Entertainment,Net Banking,15034.19
CUST010,October,Travel,UPI,10271.22
CUST128,June,Apparel,Debit Card,2079.07
CUST099,August,Electronics,Debit Card,14831.24
CUST065,October,Electronics,UPI,2960.74
CUST014,September,Apparel,Credit Card,17184.53
CUST107,October,Travel,Credit Card,5200.74
CUST007,July,Apparel,Debit Card,9815.25
CUST054,May,Entertainment,Net Banking,6530.28
CUST160,June,Groceries,UPI,11290.95
CUST053,June,Travel,Debit Card,3731.37
CUST129,September,Electronics,Debit Card,14618.83
CUST034,October,Travel,Credit Card,7181.19
CUST080,October,Electronics,Net Banking,782.89
CUST193,September,Apparel,UPI,558.64
CUST068,August,Travel,Net Banking,12329.4
CUST123,June,Travel,Debit Card,16504.77
CUST055,October,Electronics,UPI,6843.2
CUST145,July,Groceries,UPI,13129.26
CUST179,September,Apparel,Net Banking,13301.68
CUST056,September,Electronics,Net Banking,14865.94
CUST162,September,Electronics,Net Banking,12971.0
CUST091,August,Apparel,Debit Card,1529.48
CUST030,July,Entertainment,UPI,18225.21
CUST055,July,Groceries,Debit Card,17605.67
CUST194,July,Travel,Net Banking,18247.79
CUST045,July,Electronics,Debit Card,5224.31
CUST004,May,Travel,UPI,5196.71
CUST112,May,Travel,Credit Card,12155.63
CUST004,August,Apparel,UPI,18343.06
CUST028,June,Travel,UPI,17303.63
CUST195,July,Apparel,Credit Card,14914.06
CUST064,June,Entertainment,UPI,18929.69
CUST098,June,Entertainment,Debit Card,8949.65
CUST010,June,Apparel,Credit Card,7914.24
CUST107,September,Groceries,UPI,15364.51
CUST070,July,Groceries,Credit Card,19987.18
CUST065,September,Apparel,Debit Card,12686.53
CUST093,June,Entertainment,Debit Card,14136.57
CUST063,June,Entertainment,Credit Card,11781.83
CUST039,September,Apparel,UPI,19693.9
CUST018,July,Groceries,UPI,6761.14
CUST082,July,Apparel,UPI,1055.23
CUST184,October,Groceries,Debit Card,9186.08
CUST017,October,Entertainment,Net Banking,11395.63
CUST070,September,Groceries,Net Banking,17650.14
CUST119,May,Apparel,Debit Card,17488.1
CUST083,June,Travel,UPI,4413.62
CUST127,July,Apparel,Net Banking,4314.17
CUST173,May,Apparel,Debit Card,16819.62
CUST195,May,Electronics,UPI,14830.4
CUST122,October,Entertainment,UPI,17143.43
CUST008,August,Travel,Debit Card,13088.19
CUST121,July,Electronics,UPI,6000.91
CUST073,August,Travel,Debit Card,12071.1
CUST002,October,Groceries,Debit Card,10459.78
CUST041,June,Electronics,UPI,16507.87
CUST016,June,Apparel,Net Banking,15740.59
CUST071,October,Entertainment,Credit Card,4944.13
CUST097,June,Travel,Debit Card,11637.23
CUST197,July,Entertainment,Debit Card,8335.96
CUST045,August,Electronics,UPI,13838.21
CUST093,June,Entertainment,UPI,2329.23
CUST117,August,Electronics,Credit Card,12185.23
CUST097,September,Apparel,Debit Card,17684.09
CUST043,May,Travel,Debit Card,18014.86
CUST119,July,Travel,Debit Card,13777.32
CUST016,October,Travel,Debit Card,4033.38
CUST019,August,Entertainment,Credit Card,16824.33
CUST115,August,Groceries,Net Banking,12589.26
CUST133,September,Apparel,Net Banking,11178.3
CUST115,August,Entertainment,UPI,11139.87
CUST013,July,Apparel,UPI,6214.46
CUST025,August,Electronics,UPI,7448.65
CUST001,June,Travel,Credit Card,2089.68
CUST102,July,Travel,Debit Card,4177.46
CUST035,May,Electronics,UPI,7645.21
CUST141,September,Groceries,UPI,12438.18
CUST135,September,Travel,UPI,12153.58
CUST187,September,Travel,Debit Card,3847.58
CUST036,September,Travel,Net Banking,10572.5
CUST033,May,Entertainment,UPI,17276.89
CUST180,August,Electronics,Debit Card,5808.95
CUST102,August,Apparel,Debit Card,17077.5
CUST155,July,Apparel,Debit Card,2246.98
CUST024,May,Entertainment,Credit Card,11714.28
CUST017,October,Electronics,Net Banking,11579.46
CUST149,May,Travel,Debit Card,16616.54
CUST081,July,Entertainment,UPI,17636.68
CUST055,June,Groceries,Debit Card,1973.14
CUST178,September,Travel,Credit Card,15725.82
CUST057,June,Travel,Debit Card,10640.57
CUST122,May,Electronics,UPI,19931.79
CUST163,September,Travel,UPI,11141.39
CUST123,September,Entertainment,Net Banking,11887.75
CUST047,September,Apparel,UPI,2770.29
CUST037,September,Travel,Net Banking,8662.24
CUST172,September,Groceries,UPI,8772.74
CUST048,October,Apparel,Net Banking,16631.84
CUST022,July,Apparel,UPI,2803.94
CUST059,July,Electronics,Credit Card,3232.05
CUST110,June,Entertainment,Debit Card,11570.22
CUST016,July,Travel,Net Banking,12877.69
CUST190,September,Apparel,Credit Card,2617.33
CUST166,May,Electronics,Credit Card,7397.05
CUST180,September,Entertainment,Debit Card,996.5
CUST140,October,Apparel,UPI,12037.73
CUST177,September,Entertainment,Debit Card,715.31
CUST082,May,Groceries,Net Banking,6955.46
CUST093,May,Travel,Debit Card,17284.94
CUST118,August,Travel,Debit Card,5712.84
CUST003,June,Travel,Debit Card,12075.69
CUST136,May,Entertainment,Net Banking,10935.32
CUST007,August,Entertainment,UPI,5138.17
CUST007,September,Travel,Net Banking,10441.44
CUST022,August,Apparel,UPI,16528.47
CUST042,September,Groceries,Net Banking,17575.25
CUST001,May,Groceries,UPI,16091.13
CUST043,September,Groceries,Debit Card,16852.28
CUST197,September,Electronics,Debit Card,18542.63
CUST027,August,Groceries,Credit Card,922.06
CUST113,July,Travel,Credit Card,2053.07
CUST028,October,Apparel,Credit Card,7594.44
CUST155,June,Groceries,Net Banking,7459.62
CUST141,June,Travel,UPI,15201.16
CUST101,October,Groceries,Debit Card,13725.36
CUST128,September,Apparel,Credit Card,11381.25
CUST004,October,Apparel,Net Banking,12830.36
CUST141,May,Apparel,Credit Card,13160.21
CUST170,July,Apparel,Net Banking,11941.14
CUST182,October,Travel,Debit Card,8318.3
CUST131,May,Travel,Debit Card,621.69
CUST006,August,Electronics,Net Banking,12004.35
CUST059,August,Travel,Debit Card,8202.86
CUST052,June,Travel,Debit Card,14252.6
CUST181,May,Travel,Debit Card,15188.21
CUST147,August,Apparel,UPI,19627.34
CUST024,June,Groceries,Debit Card,11066.2
CUST074,May,Travel,Net Banking,4833.2
CUST149,July,Groceries,UPI,16237.0
CUST182,August,Groceries,Debit Card,4935.87
CUST059,June,Electronics,UPI,18684.39
CUST122,August,Apparel,UPI,3740.75
CUST159,May,Groceries,Net Banking,10042.07
CUST017,October,Apparel,Credit Card,14816.56
CUST149,May,Travel,UPI,16122.65
CUST066,July,Travel,Credit Card,19319.52
CUST132,September,Apparel,Debit Card,2749.12
CUST047,June,Electronics,Debit Card,19431.26
CUST132,May,Apparel,Debit Card,12644.97
CUST060,October,Entertainment,Credit Card,10762.74
CUST189,May,Apparel,Debit Card,4239.13
CUST033,July,Entertainment,Debit Card,19630.68
CUST015,May,Apparel,Net Banking,14553.49
CUST003,July,Travel,Net Banking,8241.67
CUST136,October,Entertainment,Debit Card,14918.39
CUST095,July,Entertainment,Net Banking,16011.07
CUST115,July,Apparel,Credit Card,5336.18
CUST193,May,Travel,Credit Card,12170.92
CUST002,September,Electronics,Credit Card,12251.71
CUST160,September,Electronics,UPI,14782.27
CUST064,October,Electronics,Net Banking,19795.8
CUST010,May,Electronics,Net Banking,4224.54
CUST113,August,Entertainment,Credit Card,9545.91
CUST175,July,Electronics,UPI,15353.71
CUST177,July,Travel,UPI,9237.11
CUST118,July,Travel,UPI,11929.83
CUST154,August,Apparel,UPI,2180.24
CUST024,September,Electronics,UPI,5309.38
CUST064,May,Groceries,UPI,17017.89
CUST060,June,Electronics,Debit Card,7939.99
CUST106,July,Electronics,Net Banking,19576.65
CUST195,October,Travel,UPI,3908.57
CUST027,October,Entertainment,Debit Card,9611.06
CUST057,October,Electronics,Net Banking,898.21
CUST055,September,Groceries,UPI,7308.88
CUST094,September,Entertainment,Credit Card,15862.04
CUST016,September,Travel,UPI,15125.03
CUST150,May,Electronics,UPI,3877.96
CUST192,May,Apparel,UPI,12218.14
CUST099,May,Groceries,Credit Card,12918.21
CUST195,October,Entertainment,Net Banking,15681.67
CUST181,July,Electronics,Net Banking,11798.98
